Sıra	ID	Konu	Doğru	Model	Sonuç	Süre(sn)	Reasoning Tokens
49	49	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 50	C	C	DOĞRU	0.723	0
50	50	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 53	D	D	DOĞRU	2.700	0
51	51	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 68	B	A	YANLIŞ	10.951	0
52	52	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 72	B	A	YANLIŞ	1.269	0
53	53	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 77	D	D	DOĞRU	1.130	0
54	54	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 92	C	C	DOĞRU	4.827	0
55	55	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 3	C	C	DOĞRU	0.529	0
56	56	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 10	C	D	YANLIŞ	0.443	0
57	57	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 23	C	B	YANLIŞ	1.473	0
58	58	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 29	A	A	DOĞRU	2.718	0
59	59	2020 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 4	E	C	YANLIŞ	0.959	0
60	60	2020 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 16	A	A	DOĞRU	0.907	0
61	61	2020 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 32	B	B	DOĞRU	0.535	0
62	62	2020 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 11	B	B	DOĞRU	0.958	0
63	63	2020 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 16	D	C	YANLIŞ	1.320	0
64	64	2020 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 28	C	C	DOĞRU	0.887	0
65	65	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 1	D	B	YANLIŞ	0.813	0
66	66	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 17	E	B	YANLIŞ	1.643	0
67	67	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 21	C	C	DOĞRU	0.955	0
68	68	2021 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 34	A	E	YANLIŞ	1.055	0
69	69	2021 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 1	E	E	DOĞRU	1.148	0
70	70	2021 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 10	E	D	YANLIŞ	1.128	0
71	71	2021 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 24	B	B	DOĞRU	0.927	0
72	72	2019 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 9	E	A	YANLIŞ	1.998	0
73	73	2019 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 19	C	E	YANLIŞ	1.896	0
74	74	2019 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 34	A	A	DOĞRU	0.592	0
75	75	2018 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ	E	C	YANLIŞ	0.823	0
76	76	2018 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ	E	E	DOĞRU	0.908	0
77	77	2018 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ	C	D	YANLIŞ	1.974	0
78	78	2019 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 5	D	D	DOĞRU	2.000	0
79	79	2019 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 14	D	D	DOĞRU	1.017	0
80	80	2019 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 26	B	B	DOĞRU	7.720	0
81	81	2019 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 4	C	D	YANLIŞ	0.870	0
82	82	2019 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 18	D	D	DOĞRU	16.136	0
83	83	2019 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 29	D	D	DOĞRU	0.687	0
84	84	2018-Adalet Bakanlığı/Adli Yargı‑Avukat Testi - 4	A	A	DOĞRU	1.208	0
85	85	2018-Adalet Bakanlığı/Adli Yargı‑Avukat Testi - 10	B	C	YANLIŞ	1.425	0
86	86	2018-Adalet Bakanlığı/Adli Yargı‑Avukat Testi - 35	C	E	YANLIŞ	2.205	0
87	87	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 2	B	B	DOĞRU	2.194	0
88	88	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 11	C	C	DOĞRU	0.689	0
89	89	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 18	E	E	DOĞRU	11.897	0
90	90	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 23	D	D	DOĞRU	1.402	0
91	91	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 7	C	[EMPTY_CHOICES]	HATA	12.785	0
92	92	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 14	B	B	DOĞRU	3.547	0
93	93	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 27	E	E	DOĞRU	3.892	0
94	94	2017 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 29	A	A	DOĞRU	5.744	0
95	95	2018 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 12	B	A	YANLIŞ	1.941	0
96	96	2018 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 20	E	E	DOĞRU	0.890	0
97	97	2018 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 30	B	B	DOĞRU	1.910	0
